IfcGUID,レベル,部屋: 名前,ファミリ,タイプ,タイプ IfcGUID
0OEGoAp4T4zer9fQYIwHBm,2FL,ロビー・打合せスペース,OAパーティション,W900XH1800,3xmjIbBUf7CvaS_OJynXB$
0OEGoAp4T4zer9fQYIwHAd,2FL,ロビー・打合せスペース,OAパーティション,W900XH1800,3xmjIbBUf7CvaS_OJynXB$
0OEGoAp4T4zer9fQYIwHDk,2FL,ロビー・打合せスペース,OAパーティション,W900XH1800,3xmjIbBUf7CvaS_OJynXB$
0OEGoAp4T4zer9fQYIwHCH,2FL,ロビー・打合せスペース,OAパーティション,W900XH1800,3xmjIbBUf7CvaS_OJynXB$
0OEGoAp4T4zer9fQYIwHF4,2FL,ロビー・打合せスペース,OAパーティション,W900XH1800,3xmjIbBUf7CvaS_OJynXB$
0OEGoAp4T4zer9fQYIwH6M,2FL,ロビー・打合せスペース,OAパーティション,W900XH1800,3xmjIbBUf7CvaS_OJynXB$
0OEGoAp4T4zer9fQYIwH6L,2FL,ロビー・打合せスペース,OAパーティション,W900XH1800,3xmjIbBUf7CvaS_OJynXB$
0OEGoAp4T4zer9fQYIwHwZ,2FL,ロビー・打合せスペース,OAパーティション,W1200XH1800,0OEGoAp4T4zer9fQYIwHrZ
0OEGoAp4T4zer9fQYIwH_R,2FL,ロビー・打合せスペース,OAパーティション,W900XH1800,3xmjIbBUf7CvaS_OJynXB$
0OEGoAp4T4zer9fQYIwHby,,ロビー・打合せスペース,パーテーションコーナーポール,パーテーションコーナーポール,0OEGoAp4T4zer9fQYIwHb_
0OEGoAp4T4zer9fQYIwGVn,,ロビー・打合せスペース,パーテーションコーナーポール1,パーテーションコーナーポール,0OEGoAp4T4zer9fQYIwGVp
0OEGoAp4T4zer9fQYIwGHt,2FL,ロビー・打合せスペース,OAパーティション,W900XH1800,3xmjIbBUf7CvaS_OJynXB$
0OEGoAp4T4zer9fQYIwGHs,2FL,ロビー・打合せスペース,OAパーティション,W900XH1800,3xmjIbBUf7CvaS_OJynXB$
0OEGoAp4T4zer9fQYIwGHr,2FL,ロビー・打合せスペース,OAパーティション,W900XH1800,3xmjIbBUf7CvaS_OJynXB$
0OEGoAp4T4zer9fQYIwGHq,2FL,ロビー・打合せスペース,OAパーティション,W900XH1800,3xmjIbBUf7CvaS_OJynXB$
0OEGoAp4T4zer9fQYIwGHp,2FL,ロビー・打合せスペース,OAパーティション,W900XH1800,3xmjIbBUf7CvaS_OJynXB$
0OEGoAp4T4zer9fQYIwGHo,2FL,ロビー・打合せスペース,OAパーティション,W900XH1800,3xmjIbBUf7CvaS_OJynXB$
0OEGoAp4T4zer9fQYIwGHn,2FL,ロビー・打合せスペース,OAパーティション,W900XH1800,3xmjIbBUf7CvaS_OJynXB$
0OEGoAp4T4zer9fQYIwGHm,2FL,ロビー・打合せスペース,OAパーティション,W1200XH1800,0OEGoAp4T4zer9fQYIwHrZ
0OEGoAp4T4zer9fQYIwGH$,2FL,ロビー・打合せスペース,OAパーティション,W900XH1800,3xmjIbBUf7CvaS_OJynXB$
0OEGoAp4T4zer9fQYIwGHZ,,ロビー・打合せスペース,パーテーションコーナーポール2,パーテーションコーナーポール,0OEGoAp4T4zer9fQYIwGHb
1U92fYA5DAiwNsVKbgeOEp,2FL,会議室1,テーブル オフィス A,w1800xd900xh760,3MZiahnpvCQPXjA9uulMmL
