IfcGUID,レベル,部屋: 名前,ファミリ,マーク,タイプ IfcGUID,照度,仕様 メーカー,仕様 商品名・銘柄・型番,仕様 規格・寸法,価格,交換日
3bWyfaOdr6FRpicybt$N7O,2FL,ロビー・打合せスペース,システム天井 照明,1353,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$N77,2FL,ロビー・打合せスペース,システム天井 照明,1354,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$N76,2FL,ロビー・打合せスペース,システム天井 照明,1355,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$N75,2FL,ロビー・打合せスペース,システム天井 照明,1356,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$N74,2FL,ロビー・打合せスペース,システム天井 照明,1357,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$N00,2FL,ギャラリースペース,システム天井 照明,1358,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$N0F,2FL,ギャラリースペース,システム天井 照明,1359,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$N0E,2FL,ギャラリースペース,システム天井 照明,1360,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$N0D,2FL,ギャラリースペース,システム天井 照明,1361,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$N0C,2FL,ギャラリースペース,システム天井 照明,1362,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$N0B,2FL,ギャラリースペース,システム天井 照明,1363,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$N1t,2FL,ギャラリースペース,システム天井 照明,1364,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$N1s,2FL,ギャラリースペース,システム天井 照明,1365,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$N1r,2FL,ギャラリースペース,システム天井 照明,1366,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$N1q,2FL,ギャラリースペース,システム天井 照明,1367,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$N1p,2FL,ギャラリースペース,システム天井 照明,1368,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
3bWyfaOdr6FRpicybt$N1o,2FL,ギャラリースペース,システム天井 照明,1369,3l7Pw604PCXxs4LT4Axn9I,12 lx,,,,,
