id,project_info,IfcGUID,level,No,name,wall_finish,ceiling_finish,floor_finish
677,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSip,4FL,59,設備バルコニー,,,
678,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSbW,5FL,60,事務室,,,
679,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSbZ,5FL,61,EPS,,,
680,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSbY,5FL,62,階段室,,,
681,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSbb,5FL,63,ELVホール,,,
682,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSba,5FL,64,WC女,,,
683,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSbd,5FL,65,EPS,,,
684,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nSbc,5FL,66,給湯室,,,
685,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nScP,5FL,67,PS,,,
686,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nScO,5FL,68,EPS,,,
687,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nScQ,5FL,70,WC男,,,
688,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nScA,5FL,72,廊下,,,
689,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nScE,5FL,73,設備バルコニー,,,
690,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nVV$,6FL,74,事務室,,,
691,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nVV1,6FL,75,EPS,,,
692,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nVVn,6FL,76,階段室,,,
693,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nVVm,6FL,77,ELVホール,,,
694,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nVVp,6FL,78,WC女,,,
695,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nVVo,6FL,79,EPS,,,
696,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nVVr,6FL,80,給湯室,,,
697,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nVVq,6FL,81,PS,,,
698,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nVVt,6FL,82,EPS,,,
699,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nVVf,6FL,84,WC男,,,
700,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nVGP,6FL,86,廊下,,,
701,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nVGT,6FL,87,設備バルコニー,,,
702,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nV9A,7FL,88,事務室,,,
703,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nV9D,7FL,89,EPS,,,
704,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nV9C,7FL,90,階段室,,,
705,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nV9F,7FL,91,ELVホール,,,
706,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nV9E,7FL,92,WC女,,,
707,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nV91,7FL,93,EPS,,,
708,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nV90,7FL,94,給湯室,,,
709,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nV93,7FL,95,PS,,,
710,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nV92,7FL,96,EPS,,,
711,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nV94,7FL,98,WC男,,,
712,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nV9q,7FL,100,廊下,,,
713,Aビル_新築工事,2TGD5OHBX7lxMRIFi3nV9e,7FL,101,設備バルコニー,,,
714,Aビル_新築工事,2PDl5UBrHCpxDBxxrt3pak,2FL,102,PS,,,
715,Aビル_新築工事,2PDl5UBrHCpxDBxxrt3pZG,2FL,103,PS,,,
716,Aビル_新築工事,2PDl5UBrHCpxDBxxrt3pZI,2FL,104,PS,,,
717,Aビル_新築工事,2PDl5UBrHCpxDBxxrt3pYT,3FL,105,PS,,,
718,Aビル_新築工事,2PDl5UBrHCpxDBxxrt3pYV,3FL,106,PS,,,
719,Aビル_新築工事,2PDl5UBrHCpxDBxxrt3pYo,4FL,108,PS,,,
720,Aビル_新築工事,2PDl5UBrHCpxDBxxrt3pYq,4FL,109,PS,,,
721,Aビル_新築工事,2PDl5UBrHCpxDBxxrt3pYs,4FL,110,PS,,,
722,Aビル_新築工事,2PDl5UBrHCpxDBxxrt3pYc,5FL,111,PS,,,
723,Aビル_新築工事,2PDl5UBrHCpxDBxxrt3pYe,5FL,112,PS,,,
724,Aビル_新築工事,2PDl5UBrHCpxDBxxrt3pYg,5FL,113,PS,,,
725,Aビル_新築工事,2PDl5UBrHCpxDBxxrt3pXL,6FL,114,PS,,,
726,Aビル_新築工事,2PDl5UBrHCpxDBxxrt3pXN,6FL,115,PS,,,
727,Aビル_新築工事,2PDl5UBrHCpxDBxxrt3pXP,6FL,116,PS,,,
728,Aビル_新築工事,2PDl5UBrHCpxDBxxrt3pX8,7FL,117,PS,,,
729,Aビル_新築工事,2PDl5UBrHCpxDBxxrt3pXA,7FL,118,PS,,,
730,Aビル_新築工事,2PDl5UBrHCpxDBxxrt3pXC,7FL,119,PS,,,
731,Aビル_新築工事,0DM2BrN$L1xvbqsbkLX7J1,1FL,121,廊下1,,,
732,Aビル_新築工事,2LExFLIiX8M9DB53MN6Ebv,ピット,124,消火水槽,,,
733,Aビル_新築工事,2LExFLIiX8M9DB53MN6Ebx,ピット,125,ピット,,,
734,Aビル_新築工事,2LExFLIiX8M9DB53MN6Ebb,ピット,126,ELV ピット,,,
735,Aビル_新築工事,1gjaWWaeDEzwFzhsC4y3EF,1FL,129,PS,,,
736,Aビル_新築工事,2LJMRoVXTEcfnQAKbMei$y,1FL,130,倉庫,,,
737,Aビル_新築工事,1FfaGdUYbB0veOBcY3$oEv,3FL,142,ELVホール,,,
738,Aビル_新築工事,1twSCL1k95sQCgSca7qy0V,1FL,141,ピロティ,,,
739,Aビル_新築工事,2IGXUsZSbEZ9MtB1iRFqcr,1FL,144,ELV,,,
740,Aビル_新築工事,2XGpCxucj6TgCQs0KSJMe0,1FL,145,PS,,,
741,Aビル_新築工事,3BpEhCK6P4QxahScH8VGNb,RSL,152,部屋,,,
742,Aビル_新築工事,3BpEhCK6P4QxahScH8VIXK,2FL,165,会議室2,,,
743,Aビル_新築工事,3BpEhCK6P4QxahScH8VIXH,2FL,166,会議室3,,,
744,Aビル_新築工事,3BpEhCK6P4QxahScH8VIXU,2FL,167,会議室1,,,
745,Aビル_新築工事,3BpEhCK6P4QxahScH8VIXR,2FL,168,ギャラリースペース,,,
746,Aビル_新築工事,3BpEhCK6P4QxahScH8VIXO,2FL,169,ロビー・打合せスペース,,,
747,Aビル_新築工事,1Ch8kw4TPE8Av6g1Zzd8ut,2FL,176,受付,,,
